date,draw_no,n1,n2,n3,n4,n5,n6,numbers
2018-04-26,549,8,18,19,30,33,45,8 18 19 30 33 45
2018-05-03,550,24,26,42,43,44,50,24 26 42 43 44 50
2018-05-10,551,2,6,8,9,39,53,2 6 8 9 39 53
2018-05-17,552,7,12,27,30,49,53,7 12 27 30 49 53
2018-05-24,553,6,11,34,40,49,50,6 11 34 40 49 50
2018-05-31,554,7,10,19,37,42,47,7 10 19 37 42 47
2018-06-07,555,3,13,23,35,37,46,3 13 23 35 37 46
2018-06-14,556,8,9,11,22,26,43,8 9 11 22 26 43
2018-06-21,557,2,10,17,25,37,52,2 10 17 25 37 52
2018-06-28,558,7,10,11,20,42,47,7 10 11 20 42 47
2018-07-05,559,2,6,8,25,31,44,2 6 8 25 31 44
2018-07-12,560,4,12,16,30,38,48,4 12 16 30 38 48
2018-07-19,561,19,20,27,31,37,53,19 20 27 31 37 53
2018-07-26,562,16,20,39,45,50,52,16 20 39 45 50 52
2018-08-02,563,1,7,27,28,39,51,1 7 27 28 39 51
2018-08-09,564,13,21,28,47,49,54,13 21 28 47 49 54
2018-08-16,565,9,11,12,35,49,52,9 11 12 35 49 52
2018-08-23,566,2,6,20,26,42,54,2 6 20 26 42 54
2018-08-30,567,8,19,31,39,42,47,8 19 31 39 42 47
2018-09-06,568,8,18,20,43,45,51,8 18 20 43 45 51
2018-09-13,569,12,17,21,40,41,43,12 17 21 40 41 43
2018-09-20,570,13,17,35,36,41,46,13 17 35 36 41 46
2018-09-27,571,11,18,24,41,45,54,11 18 24 41 45 54
2018-10-04,572,5,12,25,43,51,52,5 12 25 43 51 52
2018-10-11,573,7,13,24,35,39,44,7 13 24 35 39 44
2018-10-18,574,4,16,25,28,36,39,4 16 25 28 36 39
2018-10-25,575,10,18,22,26,28,32,10 18 22 26 28 32
2018-11-01,576,1,3,13,20,23,42,1 3 13 20 23 42
2018-11-08,577,5,6,10,16,17,27,5 6 10 16 17 27
2018-11-15,578,31,34,37,39,48,50,31 34 37 39 48 50
2018-11-22,579,1,4,24,39,47,51,1 4 24 39 47 51
2018-11-29,580,2,13,22,38,48,53,2 13 22 38 48 53
2018-12-06,581,6,17,28,34,47,53,6 17 28 34 47 53
2018-12-13,582,27,37,39,45,47,51,27 37 39 45 47 51
2018-12-20,583,7,13,21,28,37,54,7 13 21 28 37 54
2018-12-27,584,16,24,38,39,44,48,16 24 38 39 44 48
2019-01-03,585,2,5,27,36,40,51,2 5 27 36 40 51
2019-01-10,586,3,10,39,44,46,49,3 10 39 44 46 49
2019-01-17,587,1,2,38,40,42,52,1 2 38 40 42 52
2019-01-24,588,4,21,25,38,48,50,4 21 25 38 48 50
2019-01-31,589,10,13,30,31,48,50,10 13 30 31 48 50
2019-02-07,590,14,16,31,36,37,45,14 16 31 36 37 45
2019-02-14,591,10,26,28,32,34,40,10 26 28 32 34 40
2019-02-21,592,2,6,15,19,22,50,2 6 15 19 22 50
2019-02-28,593,10,11,22,24,42,43,10 11 22 24 42 43
2019-03-07,594,6,15,24,29,39,44,6 15 24 29 39 44
2019-03-14,595,4,32,41,42,43,53,4 32 41 42 43 53
2019-03-21,596,7,19,47,49,52,53,7 19 47 49 52 53
2019-03-28,597,11,27,46,49,51,53,11 27 46 49 51 53
2019-04-04,598,7,15,22,37,38,45,7 15 22 37 38 45
2019-04-11,599,9,11,12,14,17,51,9 11 12 14 17 51
2019-04-18,600,11,18,33,36,37,52,11 18 33 36 37 52
2019-04-25,601,1,32,42,43,44,51,1 32 42 43 44 51
2019-05-02,602,2,13,36,38,45,46,2 13 36 38 45 46
2019-05-09,603,2,22,25,27,35,44,2 22 25 27 35 44
2019-05-16,604,5,6,18,37,48,53,5 6 18 37 48 53
2019-05-23,605,10,27,31,34,36,47,10 27 31 34 36 47
2019-05-30,606,6,12,33,39,45,48,6 12 33 39 45 48
2019-06-06,607,5,10,12,20,26,49,5 10 12 20 26 49
2019-06-13,608,14,18,20,38,41,50,14 18 20 38 41 50
2019-06-20,609,5,21,33,38,42,49,5 21 33 38 42 49
2019-06-27,610,12,32,34,44,46,50,12 32 34 44 46 50
2019-07-04,611,11,14,21,25,43,48,11 14 21 25 43 48
2019-07-11,612,22,27,31,34,38,52,22 27 31 34 38 52
2019-07-18,613,2,30,36,43,47,52,2 30 36 43 47 52
2019-07-25,614,28,31,32,37,44,51,28 31 32 37 44 51
2019-08-01,615,13,24,26,40,50,53,13 24 26 40 50 53
2019-08-08,616,1,8,10,29,44,54,1 8 10 29 44 54
2019-08-15,617,1,8,9,11,24,30,1 8 9 11 24 30
2019-08-22,618,10,17,36,37,53,54,10 17 36 37 53 54
2019-08-29,619,3,8,13,21,42,45,3 8 13 21 42 45
2019-09-05,620,2,24,26,28,46,51,2 24 26 28 46 51
2019-09-12,621,7,22,38,39,53,54,7 22 38 39 53 54
2019-09-19,622,7,15,19,20,49,54,7 15 19 20 49 54
2019-09-26,623,2,6,8,41,46,50,2 6 8 41 46 50
2019-10-03,624,3,14,18,34,46,47,3 14 18 34 46 47
2019-10-10,625,5,12,18,43,46,49,5 12 18 43 46 49
2019-10-17,626,5,8,11,20,23,24,5 8 11 20 23 24
2019-10-24,627,1,4,11,15,17,31,1 4 11 15 17 31
2019-10-31,628,6,22,24,28,34,46,6 22 24 28 34 46
2019-11-07,629,3,6,16,19,28,45,3 6 16 19 28 45
2019-11-14,630,6,11,15,30,48,54,6 11 15 30 48 54
2019-11-21,631,21,25,28,40,44,49,21 25 28 40 44 49
2019-11-28,632,3,8,27,38,46,47,3 8 27 38 46 47
2019-12-05,633,20,26,27,32,35,53,20 26 27 32 35 53
2019-12-12,634,5,14,26,30,36,44,5 14 26 30 36 44
2019-12-19,635,2,9,15,36,44,52,2 9 15 36 44 52
2019-12-26,636,3,31,37,43,51,53,3 31 37 43 51 53
2020-01-02,637,13,14,32,35,38,41,13 14 32 35 38 41
2020-01-09,638,13,14,26,41,46,48,13 14 26 41 46 48
2020-01-16,639,3,26,30,33,36,49,3 26 30 33 36 49
2020-01-23,640,19,23,26,38,46,47,19 23 26 38 46 47
2020-01-30,641,4,10,12,20,29,44,4 10 12 20 29 44
2020-02-06,642,15,24,33,36,38,49,15 24 33 36 38 49
2020-02-13,643,11,13,20,27,38,44,11 13 20 27 38 44
2020-02-20,644,16,24,25,30,39,42,16 24 25 30 39 42
2020-02-27,645,15,18,29,32,41,42,15 18 29 32 41 42
2020-03-05,646,20,22,28,37,47,54,20 22 28 37 47 54
2020-03-12,647,5,24,25,26,32,49,5 24 25 26 32 49
2020-03-19,648,12,17,19,35,44,49,12 17 19 35 44 49
2020-03-26,649,5,6,10,33,35,47,5 6 10 33 35 47
2020-04-02,650,1,8,40,43,44,46,1 8 40 43 44 46
2020-04-09,651,14,24,25,26,32,47,14 24 25 26 32 47
2020-04-16,652,18,40,44,50,52,54,18 40 44 50 52 54
2020-04-23,653,9,17,19,20,38,52,9 17 19 20 38 52
2020-04-30,654,3,6,7,8,46,47,3 6 7 8 46 47
2020-05-07,655,12,15,28,29,37,42,12 15 28 29 37 42
2020-05-14,656,3,7,24,38,40,46,3 7 24 38 40 46
2020-05-21,657,7,11,23,37,41,48,7 11 23 37 41 48
2020-05-28,658,3,16,26,34,38,43,3 16 26 34 38 43
2020-06-04,659,2,24,28,35,44,48,2 24 28 35 44 48
2020-06-11,660,2,9,15,19,29,51,2 9 15 19 29 51
2020-06-18,661,7,8,20,37,43,46,7 8 20 37 43 46
2020-06-25,662,11,16,18,35,39,43,11 16 18 35 39 43
2020-07-02,663,1,9,17,21,36,39,1 9 17 21 36 39
2020-07-09,664,1,2,12,20,28,35,1 2 12 20 28 35
2020-07-16,665,2,12,19,22,33,38,2 12 19 22 33 38
2020-07-23,666,8,10,15,16,17,47,8 10 15 16 17 47
2020-07-30,667,5,11,31,40,45,53,5 11 31 40 45 53
2020-08-02,1,9,16,18,44,47,51,9 16 18 44 47 51
2020-08-04,2,17,19,32,37,41,54,17 19 32 37 41 54
2020-08-06,3,9,20,21,25,38,53,9 20 21 25 38 53
2020-08-08,17,23,27,30,36,49,54,23 27 30 36 49 54
2020-08-09,4,4,6,14,22,38,58,4 6 14 22 38 58
2020-08-11,5,1,9,14,40,48,58,1 9 14 40 48 58
2020-08-13,6,13,26,29,33,35,50,13 26 29 33 35 50
2020-08-16,7,2,6,17,37,50,53,2 6 17 37 50 53
2020-08-18,8,10,15,17,24,26,32,10 15 17 24 26 32
2020-08-20,9,1,16,21,25,27,33,1 16 21 25 27 33
2020-08-23,10,13,16,35,37,54,56,13 16 35 37 54 56
2020-08-25,11,3,5,6,10,48,60,3 5 6 10 48 60
2020-08-27,12,6,10,31,43,52,59,6 10 31 43 52 59
2020-08-30,13,5,8,19,20,23,43,5 8 19 20 23 43
2020-09-01,14,21,22,28,32,47,50,21 22 28 32 47 50
2020-09-03,15,5,8,10,11,24,31,5 8 10 11 24 31
2020-09-06,16,12,16,28,31,37,43,12 16 28 31 37 43
2020-09-10,18,6,17,26,27,40,48,6 17 26 27 40 48
2020-09-13,19,5,11,26,40,51,53,5 11 26 40 51 53
2020-09-15,20,7,8,24,33,45,46,7 8 24 33 45 46
2020-09-17,21,7,19,37,45,48,53,7 19 37 45 48 53
2020-09-20,22,3,4,7,10,44,47,3 4 7 10 44 47
2020-09-22,23,3,8,33,37,38,44,3 8 33 37 38 44
2020-09-24,24,3,14,20,21,40,55,3 14 20 21 40 55
2020-09-27,25,5,7,8,35,37,44,5 7 8 35 37 44
2020-09-29,26,1,14,20,31,46,50,1 14 20 31 46 50
2020-10-01,27,4,10,33,39,51,54,4 10 33 39 51 54
2020-10-04,28,16,23,29,40,46,51,16 23 29 40 46 51
2020-10-06,29,1,4,20,21,25,29,1 4 20 21 25 29
2020-10-08,30,1,10,21,25,42,48,1 10 21 25 42 48
2020-10-11,31,11,29,38,39,41,57,11 29 38 39 41 57
2020-10-13,32,11,16,22,31,37,52,11 16 22 31 37 52
2020-10-15,33,1,30,31,42,47,59,1 30 31 42 47 59
2020-10-18,34,1,13,18,23,36,53,1 13 18 23 36 53
2020-10-20,35,6,16,30,36,46,58,6 16 30 36 46 58
2020-10-22,36,2,4,15,28,36,52,2 4 15 28 36 52
2020-10-25,37,1,30,38,42,47,52,1 30 38 42 47 52
2020-10-27,38,21,26,31,35,50,58,21 26 31 35 50 58
2020-10-29,39,14,33,40,48,49,60,14 33 40 48 49 60
2020-11-01,40,23,29,37,38,42,43,23 29 37 38 42 43
2020-11-03,41,10,11,12,21,25,49,10 11 12 21 25 49
2020-11-05,42,10,23,39,40,54,56,10 23 39 40 54 56
2020-11-08,43,3,19,39,41,47,53,3 19 39 41 47 53
2020-11-10,44,10,14,20,35,48,60,10 14 20 35 48 60
2020-11-12,45,2,20,41,42,58,60,2 20 41 42 58 60
2020-11-15,46,2,7,14,21,25,42,2 7 14 21 25 42
2020-11-16,51,10,11,35,46,49,56,10 11 35 46 49 56
2020-11-17,47,5,18,24,28,42,51,5 18 24 28 42 51
2020-11-19,48,6,10,29,53,54,55,6 10 29 53 54 55
2020-11-22,49,6,15,22,24,37,44,6 15 22 24 37 44
2020-11-24,50,13,16,36,38,43,48,13 16 36 38 43 48
2020-11-29,52,3,7,36,49,50,52,3 7 36 49 50 52
2020-12-01,53,13,20,33,41,42,57,13 20 33 41 42 57
2020-12-03,54,2,12,19,29,42,60,2 12 19 29 42 60
2020-12-06,55,19,26,27,31,32,39,19 26 27 31 32 39
2020-12-08,56,5,9,13,14,20,53,5 9 13 14 20 53
2020-12-10,57,3,10,12,29,32,51,3 10 12 29 32 51
2020-12-13,58,8,26,28,36,38,42,8 26 28 36 38 42
2020-12-15,59,15,23,24,38,45,46,15 23 24 38 45 46
2020-12-17,60,3,5,31,38,41,58,3 5 31 38 41 58
2020-12-20,61,30,34,41,49,55,59,30 34 41 49 55 59
2020-12-22,62,2,7,20,29,37,41,2 7 20 29 37 41
2020-12-24,63,5,24,26,28,29,37,5 24 26 28 29 37
2020-12-27,64,9,20,24,26,28,52,9 20 24 26 28 52
2020-12-29,65,10,32,34,41,49,54,10 32 34 41 49 54
2020-12-31,66,4,18,23,26,36,56,4 18 23 26 36 56
