year,draw_no,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,numbers
2016,785,4,5,13,23,25,31,37,38,40,42,43,50,51,55,61,62,64,65,69,72,77,79,4 5 13 23 25 31 37 38 40 42 43 50 51 55 61 62 64 65 69 72 77 79
2016,786,2,4,10,11,13,18,19,22,23,25,26,28,30,34,37,40,52,54,62,65,75,78,2 4 10 11 13 18 19 22 23 25 26 28 30 34 37 40 52 54 62 65 75 78
2016,787,5,10,13,18,19,23,26,29,30,32,36,42,43,48,49,50,52,53,54,61,69,72,5 10 13 18 19 23 26 29 30 32 36 42 43 48 49 50 52 53 54 61 69 72
2016,788,3,5,6,8,12,14,15,18,26,27,35,37,38,39,41,50,55,57,58,67,73,76,3 5 6 8 12 14 15 18 26 27 35 37 38 39 41 50 55 57 58 67 73 76
2016,789,7,9,10,13,14,15,17,18,24,26,27,31,36,37,38,47,48,56,63,67,68,75,7 9 10 13 14 15 17 18 24 26 27 31 36 37 38 47 48 56 63 67 68 75
2016,790,6,8,11,15,21,22,23,29,33,34,40,42,43,45,48,49,59,67,70,72,76,78,6 8 11 15 21 22 23 29 33 34 40 42 43 45 48 49 59 67 70 72 76 78
2016,791,8,11,12,17,22,23,25,26,28,42,44,47,48,51,52,55,56,66,67,68,72,79,8 11 12 17 22 23 25 26 28 42 44 47 48 51 52 55 56 66 67 68 72 79
2016,792,4,6,11,12,15,16,20,22,26,37,41,46,48,52,55,57,58,61,62,70,78,80,4 6 11 12 15 16 20 22 26 37 41 46 48 52 55 57 58 61 62 70 78 80
2016,793,1,6,12,13,14,16,19,27,35,37,38,40,49,51,52,55,64,65,68,69,75,80,1 6 12 13 14 16 19 27 35 37 38 40 49 51 52 55 64 65 68 69 75 80
2016,794,9,12,13,16,18,20,24,26,29,33,36,37,41,48,50,51,52,56,58,60,69,80,9 12 13 16 18 20 24 26 29 33 36 37 41 48 50 51 52 56 58 60 69 80
2016,795,1,5,17,19,21,22,24,26,29,32,34,37,38,43,44,45,48,59,60,63,76,79,1 5 17 19 21 22 24 26 29 32 34 37 38 43 44 45 48 59 60 63 76 79
2016,796,2,7,8,9,10,11,13,15,18,21,23,28,39,41,47,48,51,54,61,66,71,79,2 7 8 9 10 11 13 15 18 21 23 28 39 41 47 48 51 54 61 66 71 79
2016,797,10,12,13,15,20,25,32,41,43,44,45,46,53,56,57,59,62,64,65,67,68,74,10 12 13 15 20 25 32 41 43 44 45 46 53 56 57 59 62 64 65 67 68 74
2016,798,4,6,9,10,21,22,23,24,25,28,33,40,41,42,45,56,67,68,72,73,75,77,4 6 9 10 21 22 23 24 25 28 33 40 41 42 45 56 67 68 72 73 75 77
2016,799,7,8,12,19,20,28,31,34,36,47,53,55,56,58,60,61,64,65,66,68,77,78,7 8 12 19 20 28 31 34 36 47 53 55 56 58 60 61 64 65 66 68 77 78
2016,800,3,5,6,8,11,13,15,16,19,22,25,26,29,34,41,42,44,51,66,69,74,77,3 5 6 8 11 13 15 16 19 22 25 26 29 34 41 42 44 51 66 69 74 77
2016,801,5,7,8,11,13,21,22,37,38,43,45,46,47,49,51,57,58,61,63,71,78,79,5 7 8 11 13 21 22 37 38 43 45 46 47 49 51 57 58 61 63 71 78 79
2016,802,4,6,18,19,22,23,30,31,35,36,40,43,45,46,49,51,52,60,61,75,76,78,4 6 18 19 22 23 30 31 35 36 40 43 45 46 49 51 52 60 61 75 76 78
2016,803,5,6,8,17,19,25,28,31,32,33,44,47,48,49,53,61,63,64,65,66,67,73,5 6 8 17 19 25 28 31 32 33 44 47 48 49 53 61 63 64 65 66 67 73
2017,804,4,11,12,14,18,20,26,35,40,42,43,44,46,51,59,63,67,68,74,75,77,79,4 11 12 14 18 20 26 35 40 42 43 44 46 51 59 63 67 68 74 75 77 79
2017,805,13,23,25,26,28,29,31,32,33,35,39,42,48,55,56,62,64,66,67,73,74,79,13 23 25 26 28 29 31 32 33 35 39 42 48 55 56 62 64 66 67 73 74 79
2017,806,7,9,12,17,19,21,23,29,38,39,44,47,50,52,54,56,62,66,69,70,73,80,7 9 12 17 19 21 23 29 38 39 44 47 50 52 54 56 62 66 69 70 73 80
2017,807,2,3,6,9,12,14,15,17,18,19,20,21,22,26,28,30,42,48,55,61,75,77,2 3 6 9 12 14 15 17 18 19 20 21 22 26 28 30 42 48 55 61 75 77
