date,draw_no,n1,n2,n3,n4,n5,n6,joker,super,numbers,bonus
2018-02-03,1108,8,14,31,34,38,41,,,8 14 31 34 38 41,
2018-02-10,1109,2,8,17,33,37,41,,,2 8 17 33 37 41,
2018-02-17,1110,3,5,8,32,35,36,,,3 5 8 32 35 36,
2018-02-24,1111,5,7,10,17,20,21,,,5 7 10 17 20 21,
2018-03-03,1112,10,21,25,38,41,46,,,10 21 25 38 41 46,
2018-03-10,1113,3,15,20,26,28,35,,,3 15 20 26 28 35,
2018-03-17,1114,2,16,17,31,44,48,,,2 16 17 31 44 48,
2018-03-24,1115,4,6,36,37,39,43,,,4 6 36 37 39 43,
2018-03-31,1116,8,15,20,29,39,41,,,8 15 20 29 39 41,
2018-04-07,1117,1,19,28,29,39,43,,,1 19 28 29 39 43,
2018-04-14,1118,3,11,34,37,40,43,,,3 11 34 37 40 43,
2018-04-21,1119,5,6,18,41,43,49,,,5 6 18 41 43 49,
2018-04-28,1120,4,5,16,36,39,42,,,4 5 16 36 39 42,
2018-05-05,1121,3,6,18,19,26,31,,,3 6 18 19 26 31,
2018-05-12,1122,2,3,9,21,32,42,,,2 3 9 21 32 42,
2018-05-19,1123,3,4,5,21,24,34,,,3 4 5 21 24 34,
2018-05-26,1124,1,10,11,13,26,34,,,1 10 11 13 26 34,
2018-06-02,1125,12,16,32,35,40,47,,,12 16 32 35 40 47,
2018-06-09,1126,1,3,22,25,34,43,,,1 3 22 25 34 43,
2018-06-16,1127,10,15,22,40,41,45,,,10 15 22 40 41 45,
2018-06-23,1128,1,3,10,19,24,42,,,1 3 10 19 24 42,
2018-06-30,1129,6,7,17,18,20,46,,,6 7 17 18 20 46,
2018-07-07,1130,3,8,13,20,30,46,,,3 8 13 20 30 46,
2018-07-14,1131,1,5,13,20,25,39,,,1 5 13 20 25 39,
2018-07-18,1132,1,25,26,35,38,48,,,1 25 26 35 38 48,
2018-07-21,1133,4,15,20,24,27,46,,,4 15 20 24 27 46,
2018-07-25,1134,1,9,16,19,26,46,,,1 9 16 19 26 46,
2018-07-28,1135,7,9,10,11,38,46,,,7 9 10 11 38 46,
2018-08-01,1136,4,6,14,20,38,47,,,4 6 14 20 38 47,
2018-08-04,1137,13,21,24,30,45,46,,,13 21 24 30 45 46,
2018-08-08,1138,6,12,18,42,43,46,,,6 12 18 42 43 46,
2018-08-11,1139,9,15,16,21,32,33,,,9 15 16 21 32 33,
2018-08-15,1140,3,10,15,18,25,43,,,3 10 15 18 25 43,
2018-08-18,1141,4,12,19,30,33,47,,,4 12 19 30 33 47,
2018-08-22,1142,4,8,30,36,44,49,,,4 8 30 36 44 49,
2018-08-25,1143,4,25,37,38,42,43,,,4 25 37 38 42 43,
2018-08-29,1144,1,2,13,28,39,46,,,1 2 13 28 39 46,
2018-09-01,1145,3,9,21,25,30,38,,,3 9 21 25 30 38,
